"","airline","avail_seat_km_per_week","incidents_85_99","fatal_accidents_85_99","fatalities_85_99","incidents_00_14","fatal_accidents_00_14","fatalities_00_14"
"1","Egyptair",557699891,8,3,282,4,1,14
"2","LAN Airlines",1001965891,3,2,21,0,0,0
"3","Cathay Pacific*",2582459303,0,0,0,2,0,0
"4","Finnair",506464950,1,0,0,0,0,0
"5","COPA",550491507,3,1,47,0,0,0
"6","Aer Lingus",320906734,2,0,0,0,0,0
"7","Sri Lankan / AirLanka",325582976,2,1,14,4,0,0
"8","United / Continental*",7139291291,19,8,319,14,2,109
"9","Air Canada",1865253802,2,0,0,2,0,0
"10","Kenya Airways",277414794,2,0,0,2,2,283
"11","Lufthansa*",3426529504,6,1,2,3,0,0
"12","TAP - Air Portugal",619130754,0,0,0,0,0,0
"13","Aeroflot*",1197672318,76,14,128,6,1,88
"14","Gulf Air",301379762,1,0,0,3,1,143
"15","British Airways*",3179760952,4,0,0,6,0,0
